dtBaseDate,AccountCode,AccountName,Flow,prediction,is_test,model,fold
2025-01-20,305477263,ＰａｙＰａｙ株式会社,13155000000,3794588973.6270924,false,CatBoostModel-20250902-014459,fold-04
2023-07-21,305477263,ＰａｙＰａｙ株式会社,-28814800000,-11095556863.012445,false,CatBoostModel-20250902-014459,fold-04
2023-10-20,300559555,株式会社ＮＴＴドコモ,13391300000,-1011869292.9932652,false,CatBoostModel-20250902-014459,fold-04
2024-11-14,301509306,東日本高速道路株式会社,39257000000,27263563226.13637,false,CatBoostModel-20250902-014459,fold-04
2023-11-09,300271063,一般社団法人　全国石油協会,28900000,-75680520.16343498,false,CatBoostModel-20250902-014459,fold-04
2022-08-08,100000542,公立学校共済組合,28012600000,-1941732965.9148998,false,CatBoostModel-20250902-014459,fold-04
2024-11-12,210037298,東京都後期高齢者医療広域連合,266700000,2016799184.4220142,false,CatBoostModel-20250902-014459,fold-04
2022-05-27,210124189,千葉県国民健康保険団体連合会,17800000,2931040952.982321,false,CatBoostModel-20250902-014459,fold-04
2022-07-27,301509331,首都高速道路株式会社,61129800000,30660564661.817204,false,CatBoostModel-20250902-014459,fold-04
2024-08-01,300382205,東日本旅客鉄道株式会社,-28299800000,453855273.94301033,false,CatBoostModel-20250902-014459,fold-04
2022-10-31,100007142,東京都国民健康保険団体連合会,-3126100000,-6174442731.331511,false,CatBoostModel-20250902-014459,fold-04
2024-09-10,300382205,東日本旅客鉄道株式会社,-67263300000,-26772783959.86363,false,CatBoostModel-20250902-014459,fold-04
2024-09-13,301371894,ＬＩＮＥヤフー株式会社,44141800000,22123091147.479637,false,CatBoostModel-20250902-014459,fold-04
2024-10-21,301509306,東日本高速道路株式会社,11993700000,-336167967.2081127,false,CatBoostModel-20250902-014459,fold-04
2023-08-01,210023724,ヤマトホールディングス株式会社,6469900000,3512343056.2577076,false,CatBoostModel-20250902-014459,fold-04
2023-09-07,100650551,神奈川県国民健康保険団体連合会,-54300000,222753818.8670826,false,CatBoostModel-20250902-014459,fold-04
2022-08-26,300003336,東京電力ホールディングス株式会社,0,18176723666.77468,false,CatBoostModel-20250902-014459,fold-04
2024-05-21,100000184,みずほファクター株式会社,38986400000,23971362466.7876,false,CatBoostModel-20250902-014459,fold-04
2022-09-07,300335762,アフラック生命保険株式会社,-3014600000,3954534060.431551,false,CatBoostModel-20250902-014459,fold-04
2022-08-26,300002127,株式会社ＳＵＢＡＲＵ,6341900000,-2573060435.7145176,false,CatBoostModel-20250902-014459,fold-04
2024-02-26,308180539,ＭＰ取りまとめ口,10521000000,-5228720626.582762,false,CatBoostModel-20250902-014459,fold-04
2023-05-30,300271063,一般社団法人　全国石油協会,-10377800000,8289175867.797337,false,CatBoostModel-20250902-014459,fold-04
2024-01-26,301480383,ＳＢペイメントサービス株式会社,-521100000,619572726.8451138,false,CatBoostModel-20250902-014459,fold-04
2024-10-07,300234591,株式会社オリエントコーポレーション,-20961900000,-7066197804.517195,false,CatBoostModel-20250902-014459,fold-04
2024-06-21,100000542,公立学校共済組合,3208700000,1833286698.3369198,false,CatBoostModel-20250902-014459,fold-04
2023-10-04,210044026,口座振替払口,1547400000,1026185093.7318287,false,CatBoostModel-20250902-014459,fold-04
2024-07-18,210123354,電力広域的運営推進機関,4300000,116241072.3526783,false,CatBoostModel-20250902-014459,fold-04
2023-06-28,305407222,株式会社ＪＥＲＡ,-351400000,1360166332.8946095,false,CatBoostModel-20250902-014459,fold-04
2022-07-01,210124189,千葉県国民健康保険団体連合会,217300000,949709599.7508755,false,CatBoostModel-20250902-014459,fold-04
2022-10-12,305402620,ＰａｙＰａｙカード株式会社,-1590300000,781054141.0577564,false,CatBoostModel-20250902-014459,fold-04
2023-09-27,300335762,アフラック生命保険株式会社,-3878300000,10700860843.428972,false,CatBoostModel-20250902-014459,fold-04
2024-03-06,300234591,株式会社オリエントコーポレーション,-7167500000,-12025552348.75279,false,CatBoostModel-20250902-014459,fold-04
2024-08-26,300382205,東日本旅客鉄道株式会社,-27610100000,-17089916837.3887,false,CatBoostModel-20250902-014459,fold-04
2023-10-26,100007142,東京都国民健康保険団体連合会,39800000,95501994.63685799,false,CatBoostModel-20250902-014459,fold-04
2022-04-06,301371894,ＬＩＮＥヤフー株式会社,0,-151550882.23374748,false,CatBoostModel-20250902-014459,fold-04
2024-09-03,300382205,東日本旅客鉄道株式会社,2154700000,7904597861.742571,false,CatBoostModel-20250902-014459,fold-04
2023-10-17,301449770,日本郵便株式会社,247000000,423338820.7721119,false,CatBoostModel-20250902-014459,fold-04
2024-07-05,300234591,株式会社オリエントコーポレーション,4647500000,-3345393596.4693394,false,CatBoostModel-20250902-014459,fold-04
2022-04-04,300001198,いすゞ自動車株式会社,1471400000,1946796788.2769947,false,CatBoostModel-20250902-014459,fold-04
2024-10-10,100000184,みずほファクター株式会社,14186900000,-7455546900.659529,false,CatBoostModel-20250902-014459,fold-04
2023-08-16,301371894,ＬＩＮＥヤフー株式会社,-1600000,-717478557.4373608,false,CatBoostModel-20250902-014459,fold-04
2023-10-06,300001198,いすゞ自動車株式会社,2243100000,-110524325.14145851,false,CatBoostModel-20250902-014459,fold-04
2024-04-18,210044026,口座振替払口,5019800000,883076129.973772,false,CatBoostModel-20250902-014459,fold-04
2022-06-28,300352535,イオンモール株式会社,-7199200000,13683628.491975784,false,CatBoostModel-20250902-014459,fold-04
2022-09-01,305407222,株式会社ＪＥＲＡ,-5330800000,-5044395960.659529,false,CatBoostModel-20250902-014459,fold-04
2022-09-20,300559555,株式会社ＮＴＴドコモ,-361900000,1369535009.8963795,false,CatBoostModel-20250902-014459,fold-04
2024-02-28,100000407,ユーシーカード株式会社,14484600000,8428780779.753679,false,CatBoostModel-20250902-014459,fold-04
2023-04-11,300010758,双日株式会社,-272900000,1485385064.4933033,false,CatBoostModel-20250902-014459,fold-04
2025-01-16,100000542,公立学校共済組合,1323900000,746765515.0851002,false,CatBoostModel-20250902-014459,fold-04
2022-08-22,300234591,株式会社オリエントコーポレーション,-17401900000,-9723965708.117537,false,CatBoostModel-20250902-014459,fold-04
2023-06-16,210044026,口座振替払口,3136900000,-829834342.3670444,false,CatBoostModel-20250902-014459,fold-04
2024-03-29,305407222,株式会社ＪＥＲＡ,-15092900000,-10236644159.316004,false,CatBoostModel-20250902-014459,fold-04
2024-01-26,300271063,一般社団法人　全国石油協会,-3800000,-914643739.7381077,false,CatBoostModel-20250902-014459,fold-04
2023-12-29,300559555,株式会社ＮＴＴドコモ,10289300000,-6805103449.181681,false,CatBoostModel-20250902-014459,fold-04
2022-04-15,210037298,東京都後期高齢者医療広域連合,79190700000,107110431109.62378,false,CatBoostModel-20250902-014459,fold-04
2022-10-05,100000407,ユーシーカード株式会社,18087800000,16222345006.378923,false,CatBoostModel-20250902-014459,fold-04
2024-07-05,301480383,ＳＢペイメントサービス株式会社,1320100000,148757655.04872704,false,CatBoostModel-20250902-014459,fold-04
2024-06-25,210037298,東京都後期高齢者医療広域連合,-1936200000,-1433441860.2237377,false,CatBoostModel-20250902-014459,fold-04
2024-05-17,100007142,東京都国民健康保険団体連合会,208522400000,157788560488.9849,false,CatBoostModel-20250902-014459,fold-04
2022-12-30,210023724,ヤマトホールディングス株式会社,-23430300000,550810596.0146542,false,CatBoostModel-20250902-014459,fold-04
2023-07-24,301480383,ＳＢペイメントサービス株式会社,356600000,2645620102.0097675,false,CatBoostModel-20250902-014459,fold-04
2023-09-07,300271063,一般社団法人　全国石油協会,-700000,-489362119.1893139,false,CatBoostModel-20250902-014459,fold-04
2023-05-18,300001198,いすゞ自動車株式会社,-1991700000,-95734523.4935131,false,CatBoostModel-20250902-014459,fold-04
2024-07-22,300002127,株式会社ＳＵＢＡＲＵ,3653600000,335781980.5733814,false,CatBoostModel-20250902-014459,fold-04
2023-06-07,305407222,株式会社ＪＥＲＡ,-5210500000,-5905470282.278288,false,CatBoostModel-20250902-014459,fold-04
2022-06-15,300382205,東日本旅客鉄道株式会社,-6533900000,-8789331472.85118,false,CatBoostModel-20250902-014459,fold-04
2022-08-04,301509306,東日本高速道路株式会社,-1217300000,582764000.3831959,false,CatBoostModel-20250902-014459,fold-04
2022-08-12,308180539,ＭＰ取りまとめ口,-52557500000,-12199128280.773294,false,CatBoostModel-20250902-014459,fold-04
2022-09-26,300234591,株式会社オリエントコーポレーション,-31614600000,-10194352975.93875,false,CatBoostModel-20250902-014459,fold-04
2023-01-18,210037298,東京都後期高齢者医療広域連合,-118145600000,-41277759444.0786,false,CatBoostModel-20250902-014459,fold-04
2024-08-19,300001198,いすゞ自動車株式会社,6767900000,10701076044.414309,false,CatBoostModel-20250902-014459,fold-04
2025-01-24,300352535,イオンモール株式会社,3184100000,6699568613.8012905,false,CatBoostModel-20250902-014459,fold-04
2024-04-09,210044026,口座振替払口,-1692300000,-20363530.96299553,false,CatBoostModel-20250902-014459,fold-04
2023-04-28,300003336,東京電力ホールディングス株式会社,-56278000000,-47288800232.49178,false,CatBoostModel-20250902-014459,fold-04
2022-04-07,300234591,株式会社オリエントコーポレーション,-6971800000,-7642231056.49864,false,CatBoostModel-20250902-014459,fold-04
2023-07-25,300352535,イオンモール株式会社,-248600000,549618717.8216724,false,CatBoostModel-20250902-014459,fold-04
2022-10-25,300382205,東日本旅客鉄道株式会社,-40689500000,-39529476647.16135,false,CatBoostModel-20250902-014459,fold-04
2024-02-20,308180539,ＭＰ取りまとめ口,2926800000,4405065266.523088,false,CatBoostModel-20250902-014459,fold-04
2023-10-26,301371894,ＬＩＮＥヤフー株式会社,-547400000,-2558207047.652937,false,CatBoostModel-20250902-014459,fold-04
2023-03-10,100007142,東京都国民健康保険団体連合会,21274900000,19735662199.37757,false,CatBoostModel-20250902-014459,fold-04
2023-02-10,100007142,東京都国民健康保険団体連合会,21603700000,16381592731.239752,false,CatBoostModel-20250902-014459,fold-04
2025-03-25,300271063,一般社団法人　全国石油協会,137777500000,49816034170.306656,false,CatBoostModel-20250902-014459,fold-04
2025-02-25,300271063,一般社団法人　全国石油協会,-1033817700000,37400651469.62709,false,CatBoostModel-20250902-014459,fold-04
2022-12-29,300335762,アフラック生命保険株式会社,15605000000,8140306176.077532,false,CatBoostModel-20250902-014459,fold-04
2025-03-21,308180539,ＭＰ取りまとめ口,-6032500000,-2067105352.925394,false,CatBoostModel-20250902-014459,fold-04
2025-02-21,308180539,ＭＰ取りまとめ口,-4024300000,5431737839.674459,false,CatBoostModel-20250902-014459,fold-04
2023-10-16,301371894,ＬＩＮＥヤフー株式会社,964400000,-650295340.8621655,false,CatBoostModel-20250902-014459,fold-04
2023-08-29,210124189,千葉県国民健康保険団体連合会,6900000,-726543406.4236889,false,CatBoostModel-20250902-014459,fold-04
2022-08-26,308180539,ＭＰ取りまとめ口,1456700000,1870412740.379919,false,CatBoostModel-20250902-014459,fold-04
2024-06-06,300003336,東京電力ホールディングス株式会社,1330400000,-589477946.7703686,false,CatBoostModel-20250902-014459,fold-04
2024-05-24,210044026,口座振替払口,209600000,-843349715.5001011,false,CatBoostModel-20250902-014459,fold-04
2024-03-13,300271063,一般社団法人　全国石油協会,3500000,512289757.5147877,false,CatBoostModel-20250902-014459,fold-04
2023-05-29,210023724,ヤマトホールディングス株式会社,-27513900000,1291500729.8595295,false,CatBoostModel-20250902-014459,fold-04
2022-04-20,100000407,ユーシーカード株式会社,1064000000,1111888301.6479664,false,CatBoostModel-20250902-014459,fold-04
2024-07-25,301449770,日本郵便株式会社,-7739000000,-9907867834.143827,false,CatBoostModel-20250902-014459,fold-04
2024-03-01,210023725,ヤマト運輸株式会社,16580300000,14401489379.482428,false,CatBoostModel-20250902-014459,fold-04
2022-08-18,210124189,千葉県国民健康保険団体連合会,38400000,3888166842.4813404,false,CatBoostModel-20250902-014459,fold-04
