dtBaseDate,AccountCode,AccountName,Flow,prediction,is_test,model,fold
2025-01-20,305477263,ＰａｙＰａｙ株式会社,13155000000,-16935649577.276285,false,LightGBMModel-20250902-040340,fold-04
2023-07-21,305477263,ＰａｙＰａｙ株式会社,-28814800000,-21693775844.15635,false,LightGBMModel-20250902-040340,fold-04
2023-10-20,300559555,株式会社ＮＴＴドコモ,13391300000,-1745172753.7495692,false,LightGBMModel-20250902-040340,fold-04
2024-11-14,301509306,東日本高速道路株式会社,39257000000,27033134698.443687,false,LightGBMModel-20250902-040340,fold-04
2023-11-09,300271063,一般社団法人　全国石油協会,28900000,375042975.77652043,false,LightGBMModel-20250902-040340,fold-04
2022-08-08,100000542,公立学校共済組合,28012600000,-2158965497.876553,false,LightGBMModel-20250902-040340,fold-04
2024-11-12,210037298,東京都後期高齢者医療広域連合,266700000,2290952529.1495676,false,LightGBMModel-20250902-040340,fold-04
2022-05-27,210124189,千葉県国民健康保険団体連合会,17800000,2249412076.728458,false,LightGBMModel-20250902-040340,fold-04
2022-07-27,301509331,首都高速道路株式会社,61129800000,53062339136.51873,false,LightGBMModel-20250902-040340,fold-04
2024-08-01,300382205,東日本旅客鉄道株式会社,-28299800000,2291194343.9058495,false,LightGBMModel-20250902-040340,fold-04
2022-10-31,100007142,東京都国民健康保険団体連合会,-3126100000,-6330960989.385911,false,LightGBMModel-20250902-040340,fold-04
2024-09-10,300382205,東日本旅客鉄道株式会社,-67263300000,-22813938923.711327,false,LightGBMModel-20250902-040340,fold-04
2024-09-13,301371894,ＬＩＮＥヤフー株式会社,44141800000,30015726248.90407,false,LightGBMModel-20250902-040340,fold-04
2024-10-21,301509306,東日本高速道路株式会社,11993700000,958442825.3917036,false,LightGBMModel-20250902-040340,fold-04
2023-08-01,210023724,ヤマトホールディングス株式会社,6469900000,6992236093.437929,false,LightGBMModel-20250902-040340,fold-04
2023-09-07,100650551,神奈川県国民健康保険団体連合会,-54300000,-828057599.1978589,false,LightGBMModel-20250902-040340,fold-04
